,Date,Confirmed,Fatal,Infected,Recovered
0,2020-10-04,135587,6451,45493,83643
1,2020-10-05,138998,6484,46030,86484
2,2020-10-06,142450,6517,46573,89360
3,2020-10-07,145939,6550,47121,92268
4,2020-10-08,149471,6584,47675,95212
5,2020-10-09,153042,6618,48235,98189
6,2020-10-10,156655,6652,48801,101202
7,2020-10-11,160309,6687,49372,104250
8,2020-10-12,164005,6722,49950,107333
9,2020-10-13,167744,6758,50533,110453
10,2020-10-14,171525,6794,51122,113609
11,2020-10-15,175349,6831,51717,116801
12,2020-10-16,179217,6868,52318,120031
13,2020-10-17,183128,6905,52925,123298
14,2020-10-18,187085,6943,53539,126603
15,2020-10-19,191086,6982,54158,129946
16,2020-10-20,195130,7020,54783,133327
17,2020-10-21,199223,7060,55415,136748
18,2020-10-22,203360,7099,56053,140208
19,2020-10-23,207545,7139,56698,143708
20,2020-10-24,211777,7180,57348,147249
21,2020-10-25,216056,7221,58005,150830
22,2020-10-26,220383,7262,58669,154452
23,2020-10-27,224758,7304,59339,158115
24,2020-10-28,229184,7347,60016,161821
25,2020-10-29,233657,7390,60699,165568
26,2020-10-30,238181,7433,61389,169359
27,2020-10-31,242756,7477,62086,173193
28,2020-11-01,247381,7522,62789,177070
29,2020-11-02,252057,7567,63499,180991
30,2020-11-03,256785,7612,64216,184957
31,2020-11-04,261564,7658,64939,188967
32,2020-11-05,266398,7705,65670,193023
33,2020-11-06,271283,7752,66407,197124
34,2020-11-07,276222,7799,67151,201272
35,2020-11-08,281215,7847,67902,205466
36,2020-11-09,286262,7896,68660,209706
37,2020-11-10,291365,7945,69425,213995
38,2020-11-11,296523,7995,70197,218331
39,2020-11-12,301736,8045,70976,222715
40,2020-11-13,307007,8096,71763,227148
41,2020-11-14,312332,8147,72556,231629
42,2020-11-15,317716,8199,73356,236161
43,2020-11-16,323156,8251,74163,240742
44,2020-11-17,328655,8304,74978,245373
45,2020-11-18,334213,8358,75799,250056
46,2020-11-19,339829,8412,76628,254789
47,2020-11-20,345505,8467,77464,259574
48,2020-11-21,351242,8523,78307,264412
49,2020-11-22,357038,8579,79157,269302
50,2020-11-23,362893,8635,80014,274244
51,2020-11-24,368812,8693,80879,279240
52,2020-11-25,374791,8750,81751,284290
53,2020-11-26,380833,8809,82630,289394
54,2020-11-27,386937,8868,83516,294553
55,2020-11-28,393104,8928,84409,299767
56,2020-11-29,399335,8988,85310,305037
57,2020-11-30,405630,9049,86218,310363
58,2020-12-01,411989,9111,87133,315745
59,2020-12-02,418412,9173,88055,321184
60,2020-12-03,424901,9236,88985,326680
61,2020-12-04,431457,9300,89922,332235
62,2020-12-05,438077,9364,90866,337847
63,2020-12-06,444764,9429,91817,343518
64,2020-12-07,451519,9495,92775,349249
65,2020-12-08,458340,9561,93740,355039
66,2020-12-09,465230,9628,94713,360889
67,2020-12-10,472188,9696,95693,366799
68,2020-12-11,479215,9764,96680,372771
69,2020-12-12,486312,9834,97674,378804
70,2020-12-13,493477,9903,98675,384899
71,2020-12-14,500713,9974,99683,391056
72,2020-12-15,508020,10045,100699,397276
73,2020-12-16,515398,10117,101721,403560
74,2020-12-17,522848,10190,102751,409907
75,2020-12-18,530368,10263,103787,416318
76,2020-12-19,537963,10338,104831,422794
77,2020-12-20,545629,10413,105881,429335
78,2020-12-21,553369,10488,106939,435942
79,2020-12-22,561182,10565,108003,442614
80,2020-12-23,569069,10642,109074,449353
81,2020-12-24,577032,10720,110152,456160
82,2020-12-25,585069,10799,111237,463033
83,2020-12-26,593181,10878,112329,469974
84,2020-12-27,601369,10959,113427,476983
85,2020-12-28,609632,11040,114532,484060
86,2020-12-29,617971,11122,115643,491206
87,2020-12-30,626386,11204,116761,498421
88,2020-12-31,634879,11288,117886,505705
89,2021-01-01,643449,11372,119017,513060
90,2021-01-02,652097,11457,120154,520486
91,2021-01-03,660822,11543,121297,527982
92,2021-01-04,669626,11630,122447,535549
93,2021-01-05,678508,11717,123603,543188
94,2021-01-06,687470,11806,124765,550899
95,2021-01-07,696511,11895,125933,558683
96,2021-01-08,705630,11985,127106,566539
97,2021-01-09,714830,12076,128286,574468
98,2021-01-10,724110,12168,129471,582471
99,2021-01-11,733470,12260,130662,590548
100,2021-01-12,742912,12354,131859,598699
101,2021-01-13,752433,12448,133061,606924
102,2021-01-14,762035,12543,134268,615224
103,2021-01-15,771720,12639,135481,623600
104,2021-01-16,781486,12736,136699,632051
105,2021-01-17,791332,12834,137921,640577
106,2021-01-18,801261,12932,139149,649180
107,2021-01-19,811273,13032,140382,657859
108,2021-01-20,821365,13132,141619,666614
109,2021-01-21,831541,13233,142861,675447
110,2021-01-22,841799,13335,144107,684357
111,2021-01-23,852140,13438,145358,693344
112,2021-01-24,862564,13542,146613,702409
113,2021-01-25,873071,13647,147872,711552
114,2021-01-26,883661,13753,149135,720773
115,2021-01-27,894334,13859,150402,730073
116,2021-01-28,905090,13967,151672,739451
117,2021-01-29,915930,14075,152946,748909
118,2021-01-30,926852,14184,154223,758445
119,2021-01-31,937860,14295,155504,768061
120,2021-02-01,948950,14406,156788,777756
121,2021-02-02,960123,14518,158074,787531
122,2021-02-03,971380,14631,159363,797386
123,2021-02-04,982721,14744,160655,807322
124,2021-02-05,994146,14859,161950,817337
125,2021-02-06,1005654,14975,163246,827433
126,2021-02-07,1017247,15092,164545,837610
127,2021-02-08,1028922,15209,165846,847867
128,2021-02-09,1040682,15328,167148,858206
