,Date,Confirmed,Fatal,Infected,Recovered
0,2020-10-04,135587,6451,45493,83643
1,2020-10-05,138707,6480,46022,86205
2,2020-10-06,141863,6509,46557,88797
3,2020-10-07,145055,6539,47097,91419
4,2020-10-08,148284,6569,47643,94072
5,2020-10-09,151548,6599,48194,96755
6,2020-10-10,154850,6629,48752,99469
7,2020-10-11,158190,6660,49315,102215
8,2020-10-12,161568,6692,49884,104992
9,2020-10-13,164983,6723,50459,107801
10,2020-10-14,168438,6755,51040,110643
11,2020-10-15,171932,6788,51626,113518
12,2020-10-16,175464,6820,52219,116425
13,2020-10-17,179036,6854,52817,119365
14,2020-10-18,182648,6887,53422,122339
15,2020-10-19,186299,6921,54032,125346
16,2020-10-20,189992,6955,54649,128388
17,2020-10-21,193725,6990,55271,131464
18,2020-10-22,197501,7025,55900,134576
19,2020-10-23,201317,7060,56535,137722
20,2020-10-24,205177,7096,57176,140905
21,2020-10-25,209080,7133,57824,144123
22,2020-10-26,213025,7169,58478,147378
23,2020-10-27,217015,7206,59139,150670
24,2020-10-28,221049,7244,59806,153999
25,2020-10-29,225128,7282,60480,157366
26,2020-10-30,229251,7320,61160,160771
27,2020-10-31,233420,7359,61847,164214
28,2020-11-01,237635,7398,62541,167696
29,2020-11-02,241897,7438,63242,171217
30,2020-11-03,246205,7478,63949,174778
31,2020-11-04,250561,7519,64663,178379
32,2020-11-05,254965,7560,65385,182020
33,2020-11-06,259416,7601,66113,185702
34,2020-11-07,263916,7643,66848,189425
35,2020-11-08,268467,7686,67591,193190
36,2020-11-09,273064,7728,68340,196996
37,2020-11-10,277714,7772,69097,200845
38,2020-11-11,282414,7816,69861,204737
39,2020-11-12,287163,7860,70632,208671
40,2020-11-13,291964,7905,71410,212649
41,2020-11-14,296816,7950,72195,216671
42,2020-11-15,301722,7996,72988,220738
43,2020-11-16,306679,8042,73788,224849
44,2020-11-17,311690,8089,74596,229005
45,2020-11-18,316755,8137,75411,233207
46,2020-11-19,321872,8184,76233,237455
47,2020-11-20,327045,8233,77063,241749
48,2020-11-21,332273,8282,77901,246090
49,2020-11-22,337555,8331,78746,250478
50,2020-11-23,342892,8381,79598,254913
51,2020-11-24,348287,8432,80458,259397
52,2020-11-25,353738,8483,81326,263929
53,2020-11-26,359244,8534,82201,268509
54,2020-11-27,364809,8587,83083,273139
55,2020-11-28,370432,8639,83974,277819
56,2020-11-29,376113,8693,84872,282548
57,2020-11-30,381853,8747,85778,287328
58,2020-12-01,387651,8801,86691,292159
59,2020-12-02,393509,8856,87612,297041
60,2020-12-03,399428,8912,88541,301975
61,2020-12-04,405406,8968,89477,306961
62,2020-12-05,411445,9025,90421,311999
63,2020-12-06,417546,9082,91373,317091
64,2020-12-07,423708,9140,92333,322235
65,2020-12-08,429932,9198,93300,327434
66,2020-12-09,436220,9258,94275,332687
67,2020-12-10,442570,9318,95258,337994
68,2020-12-11,448984,9378,96249,343357
69,2020-12-12,455461,9439,97247,348775
70,2020-12-13,462003,9501,98253,354249
71,2020-12-14,468609,9563,99267,359779
72,2020-12-15,475280,9626,100288,365366
73,2020-12-16,482019,9690,101318,371011
74,2020-12-17,488822,9754,102355,376713
75,2020-12-18,495691,9819,103399,382473
76,2020-12-19,502628,9884,104452,388292
77,2020-12-20,509632,9951,105512,394169
78,2020-12-21,516702,10017,106579,400106
79,2020-12-22,523843,10085,107655,406103
80,2020-12-23,531051,10153,108738,412160
81,2020-12-24,538329,10222,109829,418278
82,2020-12-25,545676,10292,110927,424457
83,2020-12-26,553092,10362,112033,430697
84,2020-12-27,560579,10433,113146,437000
85,2020-12-28,568137,10505,114267,443365
86,2020-12-29,575766,10577,115396,449793
87,2020-12-30,583467,10651,116532,456284
88,2020-12-31,591239,10724,117676,462839
89,2021-01-01,599085,10799,118827,469459
90,2021-01-02,607003,10874,119986,476143
91,2021-01-03,614994,10950,121152,482892
92,2021-01-04,623059,11027,122325,489707
93,2021-01-05,631199,11105,123506,496588
94,2021-01-06,639412,11183,124694,503535
95,2021-01-07,647700,11262,125889,510549
96,2021-01-08,656065,11342,127092,517631
97,2021-01-09,664506,11423,128302,524781
98,2021-01-10,673021,11504,129519,531998
99,2021-01-11,681614,11586,130743,539285
100,2021-01-12,690284,11669,131974,546641
101,2021-01-13,699030,11753,133212,554065
102,2021-01-14,707853,11837,134457,561559
103,2021-01-15,716754,11922,135709,569123
104,2021-01-16,725733,12008,136968,576757
105,2021-01-17,734791,12095,138234,584462
106,2021-01-18,743927,12183,139506,592238
107,2021-01-19,753141,12271,140784,600086
108,2021-01-20,762434,12360,142069,608005
109,2021-01-21,771808,12450,143361,615997
110,2021-01-22,781261,12541,144659,624061
111,2021-01-23,790793,12633,145963,632197
112,2021-01-24,800406,12726,147273,640407
113,2021-01-25,810099,12819,148589,648691
114,2021-01-26,819872,12913,149911,657048
115,2021-01-27,829727,13008,151239,665480
116,2021-01-28,839663,13104,152573,673986
117,2021-01-29,849681,13201,153913,682567
118,2021-01-30,859778,13298,155257,691223
119,2021-01-31,869959,13397,156608,699954
120,2021-02-01,880221,13496,157963,708762
121,2021-02-02,890565,13596,159324,717645
122,2021-02-03,900992,13697,160690,726605
123,2021-02-04,911501,13799,162061,735641
124,2021-02-05,922092,13901,163437,744754
125,2021-02-06,932766,14005,164817,753944
126,2021-02-07,943523,14109,166202,763212
127,2021-02-08,954363,14215,167591,772557
128,2021-02-09,965287,14321,168985,781981
