,Date,Confirmed,Fatal,Infected,Recovered
0,2020-10-04,135587,0,45493,90094
1,2020-10-05,138998,0,46029,92969
2,2020-10-06,142449,0,46571,95878
3,2020-10-07,145939,0,47119,98820
4,2020-10-08,149470,0,47672,101798
5,2020-10-09,153041,0,48231,104810
6,2020-10-10,156654,0,48796,107858
7,2020-10-11,160309,0,49367,110942
8,2020-10-12,164004,0,49943,114061
9,2020-10-13,167743,0,50526,117217
10,2020-10-14,171523,0,51114,120409
11,2020-10-15,175347,0,51708,123639
12,2020-10-16,179215,0,52309,126906
13,2020-10-17,183126,0,52915,130211
14,2020-10-18,187081,0,53527,133554
15,2020-10-19,191082,0,54146,136936
16,2020-10-20,195128,0,54771,140357
17,2020-10-21,199220,0,55402,143818
18,2020-10-22,203357,0,56039,147318
19,2020-10-23,207542,0,56683,150859
20,2020-10-24,211773,0,57333,154440
21,2020-10-25,216052,0,57989,158063
22,2020-10-26,220379,0,58652,161727
23,2020-10-27,224754,0,59321,165433
24,2020-10-28,229178,0,59997,169181
25,2020-10-29,233652,0,60680,172972
26,2020-10-30,238175,0,61369,176806
27,2020-10-31,242747,0,62064,180683
28,2020-11-01,247371,0,62766,184605
29,2020-11-02,252045,0,63475,188570
30,2020-11-03,256772,0,64191,192581
31,2020-11-04,261550,0,64913,196637
32,2020-11-05,266381,0,65643,200738
33,2020-11-06,271264,0,66379,204885
34,2020-11-07,276200,0,67121,209079
35,2020-11-08,281191,0,67871,213320
36,2020-11-09,286236,0,68628,217608
37,2020-11-10,291335,0,69391,221944
38,2020-11-11,296489,0,70161,226328
39,2020-11-12,301699,0,70939,230760
40,2020-11-13,306965,0,71723,235242
41,2020-11-14,312287,0,72514,239773
42,2020-11-15,317666,0,73312,244354
43,2020-11-16,323103,0,74118,248985
44,2020-11-17,328597,0,74930,253667
45,2020-11-18,334150,0,75750,258400
46,2020-11-19,339761,0,76576,263185
47,2020-11-20,345432,0,77410,268022
48,2020-11-21,351162,0,78250,272912
49,2020-11-22,356952,0,79098,277854
50,2020-11-23,362803,0,79953,282850
51,2020-11-24,368715,0,80815,287900
52,2020-11-25,374689,0,81685,293004
53,2020-11-26,380724,0,82561,298163
54,2020-11-27,386822,0,83445,303377
55,2020-11-28,392982,0,84335,308647
56,2020-11-29,399206,0,85233,313973
57,2020-11-30,405495,0,86139,319356
58,2020-12-01,411846,0,87051,324795
59,2020-12-02,418264,0,87971,330293
60,2020-12-03,424745,0,88897,335848
61,2020-12-04,431293,0,89831,341462
62,2020-12-05,437906,0,90772,347134
63,2020-12-06,444587,0,91721,352866
64,2020-12-07,451334,0,92676,358658
65,2020-12-08,458149,0,93639,364510
66,2020-12-09,465032,0,94609,370423
67,2020-12-10,471984,0,95586,376398
68,2020-12-11,479004,0,96571,382433
69,2020-12-12,486093,0,97562,388531
70,2020-12-13,493251,0,98560,394691
71,2020-12-14,500479,0,99566,400913
72,2020-12-15,507777,0,100578,407199
73,2020-12-16,515147,0,101598,413549
74,2020-12-17,522588,0,102625,419963
75,2020-12-18,530100,0,103658,426442
76,2020-12-19,537685,0,104699,432986
77,2020-12-20,545342,0,105746,439596
78,2020-12-21,553072,0,106801,446271
79,2020-12-22,560876,0,107862,453014
80,2020-12-23,568753,0,108930,459823
81,2020-12-24,576705,0,110005,466700
82,2020-12-25,584732,0,111087,473645
83,2020-12-26,592834,0,112176,480658
84,2020-12-27,601011,0,113271,487740
85,2020-12-28,609263,0,114372,494891
86,2020-12-29,617592,0,115481,502111
87,2020-12-30,625998,0,116596,509402
88,2020-12-31,634480,0,117717,516763
89,2021-01-01,643039,0,118845,524194
90,2021-01-02,651676,0,119979,531697
91,2021-01-03,660390,0,121119,539271
92,2021-01-04,669183,0,122265,546918
93,2021-01-05,678054,0,123418,554636
94,2021-01-06,687004,0,124577,562427
95,2021-01-07,696032,0,125741,570291
96,2021-01-08,705141,0,126912,578229
97,2021-01-09,714328,0,128088,586240
98,2021-01-10,723596,0,129270,594326
99,2021-01-11,732942,0,130457,602485
100,2021-01-12,742370,0,131650,610720
101,2021-01-13,751878,0,132849,619029
102,2021-01-14,761467,0,134053,627414
103,2021-01-15,771137,0,135262,635875
104,2021-01-16,780887,0,136476,644411
105,2021-01-17,790719,0,137695,653024
106,2021-01-18,800633,0,138919,661714
107,2021-01-19,810628,0,140148,670480
108,2021-01-20,820706,0,141382,679324
109,2021-01-21,830865,0,142620,688245
110,2021-01-22,841106,0,143862,697244
111,2021-01-23,851430,0,145109,706321
112,2021-01-24,861836,0,146360,715476
113,2021-01-25,872325,0,147615,724710
114,2021-01-26,882896,0,148874,734022
115,2021-01-27,893551,0,150137,743414
116,2021-01-28,904288,0,151403,752885
117,2021-01-29,915108,0,152673,762435
118,2021-01-30,926012,0,153946,772066
119,2021-01-31,936999,0,155223,781776
120,2021-02-01,948068,0,156502,791566
121,2021-02-02,959221,0,157784,801437
122,2021-02-03,970458,0,159069,811389
123,2021-02-04,981778,0,160357,821421
124,2021-02-05,993182,0,161647,831535
125,2021-02-06,1004669,0,162939,841730
126,2021-02-07,1016239,0,164233,852006
127,2021-02-08,1027894,0,165530,862364
128,2021-02-09,1039632,0,166828,872804
