,Date,Confirmed,Infected,Fatal,Recovered,Susceptible,New Confirmed,Country
0,2020-01-18,47,38,2,7,152334259,2.0,global
1,2020-01-19,48,33,2,13,152334258,3.0,global
2,2020-01-20,53,35,2,16,152334253,2.0,global
3,2020-01-21,54,34,2,18,152334252,5.0,global
4,2020-01-22,608,540,20,48,1545063698,290.0,global
5,2020-01-23,704,632,21,51,1545063602,482.0,global
6,2020-01-24,989,898,30,61,1545063317,654.0,global
7,2020-01-25,1481,1371,46,64,1545062825,1370.0,global
8,2020-01-26,2152,2014,60,78,1545062154,1341.0,global
9,2020-01-27,2954,2777,86,91,1545061352,1759.0,global
10,2020-01-28,5597,5327,135,135,1545058709,1435.0,global
11,2020-01-29,6178,5886,137,155,1545058128,1938.0,global
12,2020-01-30,8235,7887,175,173,1545056071,2832.0,global
13,2020-01-31,9907,9430,217,260,1545054399,3304.0,global
14,2020-02-01,12002,11418,263,321,1640592699,3942.0,global
15,2020-02-02,16742,15867,365,510,1640587959,3606.0,global
16,2020-02-03,19830,18741,429,660,1640584871,3626.0,global
17,2020-02-04,23831,22448,495,888,1640580870,3467.0,global
18,2020-02-05,27564,25835,567,1162,1640577137,3127.0,global
19,2020-02-06,30752,28590,637,1525,1790706098,3084.0,global
20,2020-02-07,34290,31523,722,2045,1822231145,2752.0,global
21,2020-02-08,37043,33594,809,2640,1849537068,2527.0,global
22,2020-02-09,40088,35909,909,3270,2243198631,1648.0,global
23,2020-02-10,42622,37638,1016,3968,2243196097,5852.0,global
24,2020-02-11,44662,38856,1116,4690,2243194057,7331.0,global
25,2020-02-12,45064,38796,1123,5145,2590865545,7895.0,global
26,2020-02-13,60213,52563,1375,6275,3943467724,3552.0,global
27,2020-02-14,66689,57140,1527,8022,3943461248,2037.0,global
28,2020-02-15,68764,57752,1669,9343,3990255713,1944.0,global
29,2020-02-16,70888,58319,1773,10796,4056713933,1379.0,global
30,2020-02-17,72823,58461,1872,12490,4056711998,892.0,global
31,2020-02-18,74614,58377,2011,14226,4056710207,457.0,global
32,2020-02-19,75033,56939,2124,15970,4056709788,806.0,global
33,2020-02-20,75505,55253,2246,18006,4066884530,666.0,global
34,2020-02-21,75993,55046,2246,18701,4066884042,583.0,global
35,2020-02-22,77460,52355,2451,22654,4066882575,272.0,global
36,2020-02-23,77512,51906,2453,23153,4066882523,404.0,global
37,2020-02-24,77979,50398,2610,24971,4127303816,633.0,global
38,2020-02-25,78613,48323,2683,27607,4127303182,654.0,global
39,2020-02-26,79277,46455,2756,30066,4209102787,898.0,global
40,2020-02-27,80137,44395,2799,32943,4209101927,1166.0,global
41,2020-02-28,80977,41796,2856,36325,4307524682,1305.0,global
42,2020-02-29,81992,39716,2922,39354,4312353150,1523.0,global
43,2020-03-01,83664,38437,2974,42253,4312351478,1542.0,global
44,2020-03-02,84921,36760,3052,45109,4312350221,1806.0,global
45,2020-03-03,86700,35742,3125,47833,4447052457,2296.0,global
46,2020-03-04,88505,34682,3211,50612,4473365722,2826.0,global
47,2020-03-05,90672,34155,3304,53213,4482204076,3141.0,global
48,2020-03-06,93802,35237,3408,55157,4489564021,3533.0,global
49,2020-03-07,97214,36130,3506,57578,4701775639,3854.0,global
50,2020-03-08,100494,36845,3729,59920,4727075944,5196.0,global
51,2020-03-09,104787,39146,3920,61721,4774988750,6089.0,global
52,2020-03-10,109487,41448,4184,63855,5078627327,8158.0,global
53,2020-03-11,116369,46091,4507,65771,5088560245,9589.0,global
54,2020-03-12,123577,51054,4820,67703,5143562294,10697.0,global
55,2020-03-13,134751,59787,5280,69684,5265492821,11359.0,global
56,2020-03-14,146896,68649,5701,72546,5340518878,13355.0,global
57,2020-03-15,158841,77607,6367,74867,5568529867,16668.0,global
58,2020-03-16,172253,88462,7023,76768,5850652894,20931.0,global
59,2020-03-17,192625,105743,7872,79010,5914845921,25043.0,global
60,2020-03-18,213253,122816,8850,81587,6116754754,28477.0,global
61,2020-03-19,240784,147483,9927,83374,6158794268,30160.0,global
62,2020-03-20,269963,171771,11283,86909,6232881153,34173.0,global
63,2020-03-21,301296,197659,12943,90694,6313504583,37521.0,global
64,2020-03-22,333217,224759,14548,93910,6473379440,43876.0,global
65,2020-03-23,374014,260479,16423,97112,6473338643,49734.0,global
66,2020-03-24,415200,295600,18616,100984,6498612351,56541.0,global
67,2020-03-25,465539,337755,21328,106456,6592419066,59825.0,global
68,2020-03-26,524290,387292,24125,112873,6640463826,58109.0,global
69,2020-03-27,591386,443578,27642,120166,6905129027,59770.0,global
70,2020-03-28,653433,493260,31253,128920,6916030015,64675.0,global
71,2020-03-29,708664,535207,34492,138965,6934699965,73365.0,global
72,2020-03-30,771322,581271,38305,151746,6944130315,79422.0,global
73,2020-03-31,847937,642526,42725,162686,7051145738,81379.0,global
74,2020-04-01,929277,700580,52038,176659,7064970387,79852.0,global
75,2020-04-02,1010182,758709,58460,193013,7071510466,77073.0,global
76,2020-04-03,1092964,817789,64897,210278,7126714967,74052.0,global
77,2020-04-04,1169805,864295,71222,234288,7216543204,73700.0,global
78,2020-04-05,1242368,910724,76489,255155,7243019650,76945.0,global
79,2020-04-06,1315745,958933,82486,274326,7245476860,81355.0,global
80,2020-04-07,1391262,1004967,90664,295631,7262147066,85138.0,global
81,2020-04-08,1473429,1054068,97489,321872,7262640890,83370.0,global
82,2020-04-09,1560011,1106308,105228,348475,7323324210,77624.0,global
83,2020-04-10,1646906,1156718,112426,377762,7323289756,71567.0,global
84,2020-04-11,1723785,1192002,118825,412958,7365936016,70694.0,global
85,2020-04-12,1793091,1226263,124516,442312,7372332223,72381.0,global
86,2020-04-13,1861815,1253172,130410,478233,7376931705,77600.0,global
87,2020-04-14,1936084,1292664,137448,505972,7376953722,81300.0,global
88,2020-04-15,2010456,1317261,145500,547695,7391318368,81612.0,global
89,2020-04-16,2094820,1351318,152457,591045,7391290886,78590.0,global
90,2020-04-17,2180209,1395229,160543,624437,7409557028,75043.0,global
91,2020-04-18,2255539,1427787,166574,661178,7415232131,75179.0,global
92,2020-04-19,2330915,1460836,171736,698343,7425064289,76498.0,global
93,2020-04-20,2405648,1498025,177477,730146,7436164934,80236.0,global
94,2020-04-21,2481368,1535066,184581,761721,7436089214,86518.0,global
95,2020-04-22,2560580,1569650,191118,799812,7436010002,87093.0,global
96,2020-04-23,2646519,1613257,197646,835616,7435924063,82021.0,global
97,2020-04-24,2741104,1646550,204175,890379,7435829478,73712.0,global
98,2020-04-25,2822019,1684767,209698,927554,7435748563,70981.0,global
99,2020-04-26,2892734,1711584,213587,967563,7435677848,73498.0,global
100,2020-04-27,2962399,1740771,218145,1003483,7435608183,78025.0,global
101,2020-04-28,3035117,1770216,224543,1040358,7435746493,83256.0,global
102,2020-04-29,3113420,1800124,231140,1082156,7437922316,83475.0,global
103,2020-04-30,3196680,1807477,237026,1152177,7466337743,81225.0,global
104,2020-05-01,3285238,1845826,242066,1197346,7466249808,77682.0,global
105,2020-05-02,3364176,1873573,247480,1243123,7466170870,78492.0,global
106,2020-05-03,3440799,1906649,251056,1283094,7475195084,83765.0,global
107,2020-05-04,3518679,1939016,255017,1324646,7483723520,88135.0,global
108,2020-05-05,3600092,1975603,260882,1363607,7483642107,91884.0,global
109,2020-05-06,3692270,2016435,266903,1408932,7483549929,89082.0,global
110,2020-05-07,3783240,2055722,272116,1455402,7483458959,83890.0,global
111,2020-05-08,3876038,2098249,277445,1500344,7494342081,78770.0,global
112,2020-05-09,3959797,2119132,281763,1558902,7494258322,79010.0,global
113,2020-05-10,4035182,2150614,285309,1599259,7494182937,82118.0,global
114,2020-05-11,4112500,2173311,288704,1650485,7494105619,88722.0,global
115,2020-05-12,4196975,2195961,294127,1706887,7494021144,92743.0,global
116,2020-05-13,4281694,2215205,299040,1767449,7493936425,94930.0,global
117,2020-05-14,4378838,2264290,304138,1810410,7494671603,88834.0,global
118,2020-05-15,4475355,2303241,309302,1862812,7494575086,86482.0,global
119,2020-05-16,4566648,2326644,313533,1926471,7494483793,87973.0,global
120,2020-05-17,4645498,2355008,316687,1973803,7494404943,95586.0,global
121,2020-05-18,4734980,2385959,320431,2028590,7494315461,101114.0,global
122,2020-05-19,4830721,2379111,325424,2126186,7494219720,104835.0,global
123,2020-05-20,4932426,2413921,330129,2188376,7494118015,104022.0,global
124,2020-05-21,5038491,2457946,334769,2245776,7494011950,100425.0,global
125,2020-05-22,5145379,2450437,339939,2355003,7493905062,94016.0,global
126,2020-05-23,5244640,2483221,343863,2417556,7493805801,92996.0,global
127,2020-05-24,5339927,2513653,346989,2479285,7493710514,95591.0,global
128,2020-05-25,5427584,2532259,350170,2545155,7493622857,106004.0,global
129,2020-05-26,5523782,2565673,354244,2603865,7493526659,114291.0,global
130,2020-05-27,5626861,2595528,359301,2672032,7493423580,122623.0,global
131,2020-05-28,5745753,2638556,363871,2743326,7495412820,118623.0,global
132,2020-05-29,5866825,2676168,368438,2822219,7495291748,110193.0,global
133,2020-05-30,5994893,2725362,372447,2897084,7495163680,108496.0,global
134,2020-05-31,6101781,2747766,375263,2978752,7495056792,112418.0,global
135,2020-06-01,6197556,2783146,378396,3036014,7494961017,123288.0,global
136,2020-06-02,6320551,2828653,383119,3108779,7494838022,126193.0,global
137,2020-06-03,6439200,2858276,388517,3192407,7494719373,128422.0,global
138,2020-06-04,6567585,2906767,393556,3267262,7494590988,123186.0,global
139,2020-06-05,6699269,2958689,398082,3342498,7494459304,113450.0,global
140,2020-06-06,6824630,3001750,401926,3420954,7494333943,113392.0,global
141,2020-06-07,6937276,3047123,405247,3484906,7494221297,121189.0,global
142,2020-06-08,7039764,2988928,408413,3642423,7494118809,133171.0,global
143,2020-06-09,7164968,3023184,413157,3728627,7493993605,136313.0,global
144,2020-06-10,7301004,3063456,418197,3819351,7493857569,135242.0,global
145,2020-06-11,7439432,3108136,422900,3908396,7493719141,131845.0,global
146,2020-06-12,7574060,3155666,427310,3991084,7493584513,126663.0,global
147,2020-06-13,7706889,3189904,431471,4085514,7493451684,129691.0,global
148,2020-06-14,7835105,3239556,434713,4160836,7493323468,146566.0,global
149,2020-06-15,7954213,3270245,438190,4245778,7493204360,153763.0,global
150,2020-06-16,8096129,3304958,444905,4346266,7493062444,166887.0,global
151,2020-06-17,8274965,3376142,450001,4448822,7492883608,160227.0,global
