,School_closing,Workplace_closing,Cancel_events,Gatherings_restrictions,Transport_closing,Stay_home_restrictions,Internal_movement_restrictions,International_movement_restrictions,Date
288,1957,1957,1957,1957,1957,1957,1957,1957,2021-01-01
289,1952,1952,1952,1952,1952,1952,1952,1952,2021-01-02
290,1947,1947,1947,1947,1947,1947,1947,1947,2021-01-03
291,1942,1942,1942,1942,1942,1942,1942,1942,2021-01-04
292,1937,1937,1937,1937,1937,1937,1937,1937,2021-01-05
293,1933,1933,1933,1933,1933,1933,1933,1933,2021-01-06
294,1928,1928,1928,1928,1928,1928,1928,1928,2021-01-07
295,1923,1923,1923,1923,1923,1923,1923,1923,2021-01-08
296,1918,1918,1918,1918,1918,1918,1918,1918,2021-01-09
297,1913,1913,1913,1913,1913,1913,1913,1913,2021-01-10
298,1909,1909,1909,1909,1909,1909,1909,1909,2021-01-11
299,1904,1904,1904,1904,1904,1904,1904,1904,2021-01-12
300,1899,1899,1899,1899,1899,1899,1899,1899,2021-01-13
301,1894,1894,1894,1894,1894,1894,1894,1894,2021-01-14
302,1890,1890,1890,1890,1890,1890,1890,1890,2021-01-15
303,1885,1885,1885,1885,1885,1885,1885,1885,2021-01-16
304,1880,1880,1880,1880,1880,1880,1880,1880,2021-01-17
305,1875,1875,1875,1875,1875,1875,1875,1875,2021-01-18
306,1871,1871,1871,1871,1871,1871,1871,1871,2021-01-19
307,1866,1866,1866,1866,1866,1866,1866,1866,2021-01-20
308,1850,1857,1871,1893,1858,1824,1861,1870,2021-01-21
309,1834,1849,1876,1919,1850,1783,1857,1874,2021-01-22
310,1818,1840,1881,1947,1841,1743,1852,1878,2021-01-23
311,1802,1832,1886,1974,1833,1704,1847,1883,2021-01-24
312,1787,1823,1891,2003,1825,1666,1843,1887,2021-01-25
313,1771,1815,1896,2031,1817,1629,1838,1891,2021-01-26
314,1756,1807,1901,2060,1809,1592,1834,1895,2021-01-27
315,1741,1798,1906,2089,1801,1557,1829,1899,2021-01-28
316,1726,1790,1911,2119,1793,1522,1824,1904,2021-01-29
317,1711,1782,1916,2149,1786,1488,1820,1908,2021-01-30
318,1696,1774,1921,2180,1778,1454,1815,1912,2021-01-31
319,1682,1765,1926,2211,1770,1422,1811,1916,2021-02-01
320,1667,1757,1931,2242,1762,1390,1806,1920,2021-02-02
321,1653,1749,1936,2274,1754,1359,1802,1925,2021-02-03
322,1638,1741,1941,2306,1747,1328,1797,1929,2021-02-04
323,1624,1733,1947,2339,1739,1299,1793,1933,2021-02-05
324,1610,1725,1952,2373,1731,1270,1788,1937,2021-02-06
325,1596,1717,1957,2406,1724,1241,1784,1942,2021-02-07
326,1583,1709,1962,2440,1716,1213,1779,1946,2021-02-08
