,School_closing,Workplace_closing,Cancel_events,Gatherings_restrictions,Transport_closing,Stay_home_restrictions,Internal_movement_restrictions,International_movement_restrictions,Date
349,316821,316821,316821,316821,316821,316821,316821,316821,2021-01-01
350,307650,307650,307650,307650,307650,307650,307650,307650,2021-01-02
351,298741,298741,298741,298741,298741,298741,298741,298741,2021-01-03
352,290088,290088,290088,290088,290088,290088,290088,290088,2021-01-04
353,294599,294599,294599,294599,294599,294599,294599,294599,2021-01-05
354,292879,292879,292879,292879,292879,292879,292879,292879,2021-01-06
355,291164,291164,291164,291164,291164,291164,291164,291164,2021-01-07
356,289455,289455,289455,289455,289455,289455,289455,289455,2021-01-08
357,287752,287752,287752,287752,287752,287752,287752,287752,2021-01-09
358,286055,286055,286055,286055,286055,286055,286055,286055,2021-01-10
359,284365,284365,284365,284365,284365,284365,284365,284365,2021-01-11
360,297396,297396,297396,297396,297396,297396,297396,297396,2021-01-12
361,293391,293391,293391,293391,293391,293391,293391,293391,2021-01-13
362,289437,289437,289437,289437,289437,289437,289437,289437,2021-01-14
363,285534,285534,285534,285534,285534,285534,285534,285534,2021-01-15
364,281681,281681,281681,281681,281681,281681,281681,281681,2021-01-16
365,277877,277877,277877,277877,277877,277877,277877,277877,2021-01-17
366,274122,274122,274122,274122,274122,274122,274122,274122,2021-01-18
367,270415,270415,270415,270415,270415,270415,270415,270415,2021-01-19
368,266757,266757,266757,266757,266757,266757,266757,266757,2021-01-20
369,270046,264904,268060,268658,264505,264904,266060,270090,2021-01-21
370,273372,263060,269366,270568,262269,263060,265362,273462,2021-01-22
371,276736,261227,270674,272488,260050,261227,264663,276872,2021-01-23
372,280137,259403,271986,274418,257845,259403,263964,280321,2021-01-24
373,283576,257589,273300,276358,255657,257589,263263,283809,2021-01-25
374,287053,255784,274618,278308,253485,255784,262562,287337,2021-01-26
375,290569,253990,275938,280268,251328,253990,261860,290906,2021-01-27
376,294123,252205,277260,282237,249187,252205,261158,294515,2021-01-28
377,297717,250430,278586,284217,247061,250430,260455,298164,2021-01-29
378,301350,248665,279914,286206,244951,248665,259751,301855,2021-01-30
379,305024,246909,281244,288205,242856,246909,259047,305587,2021-01-31
380,308737,245163,282577,290213,240777,245163,258342,309361,2021-02-01
381,312491,243427,283913,292232,238713,243427,257636,313178,2021-02-02
382,316285,241701,285251,294260,236664,241701,256930,317037,2021-02-03
383,320121,239984,286591,296298,234630,239984,256223,320939,2021-02-04
384,323998,238277,287934,298345,232611,238277,255516,324885,2021-02-05
385,327917,236579,289279,300402,230608,236579,254809,328874,2021-02-06
386,331879,234891,290627,302469,228619,234891,254100,332907,2021-02-07
387,335882,233213,291977,304545,226645,233213,253392,336985,2021-02-08
