,School_closing,Workplace_closing,Cancel_events,Gatherings_restrictions,Transport_closing,Stay_home_restrictions,Internal_movement_restrictions,International_movement_restrictions,Date
323,267198,267198,267198,267198,267198,267198,267198,267198,2021-01-01
324,263108,263108,263108,263108,263108,263108,263108,263108,2021-01-02
325,259081,259081,259081,259081,259081,259081,259081,259081,2021-01-03
326,255115,255115,255115,255115,255115,255115,255115,255115,2021-01-04
327,251209,251209,251209,251209,251209,251209,251209,251209,2021-01-05
328,247363,247363,247363,247363,247363,247363,247363,247363,2021-01-06
329,243576,243576,243576,243576,243576,243576,243576,243576,2021-01-07
330,239846,239846,239846,239846,239846,239846,239846,239846,2021-01-08
331,236174,236174,236174,236174,236174,236174,236174,236174,2021-01-09
332,232557,232557,232557,232557,232557,232557,232557,232557,2021-01-10
333,228996,228996,228996,228996,228996,228996,228996,228996,2021-01-11
334,225489,225489,225489,225489,225489,225489,225489,225489,2021-01-12
335,222035,222035,222035,222035,222035,222035,222035,222035,2021-01-13
336,218635,218635,218635,218635,218635,218635,218635,218635,2021-01-14
337,215286,215286,215286,215286,215286,215286,215286,215286,2021-01-15
338,211988,211988,211988,211988,211988,211988,211988,211988,2021-01-16
339,208740,208740,208740,208740,208740,208740,208740,208740,2021-01-17
340,205542,205542,205542,205542,205542,205542,205542,205542,2021-01-18
341,202392,202392,202392,202392,202392,202392,202392,202392,2021-01-19
342,199291,199291,199291,199291,199291,199291,199291,199291,2021-01-20
343,208324,217622,206038,217622,217622,217622,208343,207928,2021-01-21
344,217767,237641,213013,237641,237641,237641,217806,216940,2021-01-22
345,227637,259500,220224,259500,259500,259500,227698,226342,2021-01-23
346,237954,283367,227679,283367,283367,283367,238039,236150,2021-01-24
347,248738,309427,235385,309427,309427,309427,248850,246383,2021-01-25
348,260010,337883,243352,337883,337883,337883,260150,257060,2021-01-26
349,271792,368958,251588,368958,368958,368958,271964,268198,2021-01-27
350,284108,402891,260103,402891,402891,402891,284313,279818,2021-01-28
351,296982,439946,268905,439946,439946,439946,297223,291942,2021-01-29
352,310438,480436,278005,480436,480436,480436,310718,304590,2021-01-30
353,324508,524642,287412,524642,524642,524642,324830,317789,2021-01-31
354,339219,572877,297140,572877,572877,572877,339586,331563,2021-02-01
355,354596,625502,307196,625502,625502,625502,355011,345934,2021-02-02
356,370666,682924,317593,682924,682924,682924,371134,360925,2021-02-03
357,387460,745600,328340,745600,745600,745600,387983,376561,2021-02-04
358,405007,814033,339449,814033,814033,814033,405591,392869,2021-02-05
359,423343,888775,350932,888775,888775,888775,423991,409877,2021-02-06
360,442503,970426,362800,970426,970426,970426,443220,427616,2021-02-07
361,462524,1059631,375068,1059631,1059631,1059631,463315,446117,2021-02-08
