,School_closing,Workplace_closing,Cancel_events,Gatherings_restrictions,Transport_closing,Stay_home_restrictions,Internal_movement_restrictions,International_movement_restrictions,Date
312,564939,564939,564939,564939,564939,564939,564939,564939,2021-01-01
313,565205,565205,565205,565205,565205,565205,565205,565205,2021-01-02
314,565466,565466,565466,565466,565466,565466,565466,565466,2021-01-03
315,565723,565723,565723,565723,565723,565723,565723,565723,2021-01-04
316,565976,565976,565976,565976,565976,565976,565976,565976,2021-01-05
317,568712,568712,568712,568712,568712,568712,568712,568712,2021-01-06
318,570691,570691,570691,570691,570691,570691,570691,570691,2021-01-07
319,572671,572671,572671,572671,572671,572671,572671,572671,2021-01-08
320,574653,574653,574653,574653,574653,574653,574653,574653,2021-01-09
321,576635,576635,576635,576635,576635,576635,576635,576635,2021-01-10
322,578618,578618,578618,578618,578618,578618,578618,578618,2021-01-11
323,570040,570040,570040,570040,570040,570040,570040,570040,2021-01-12
324,567282,567282,567282,567282,567282,567282,567282,567282,2021-01-13
325,564534,564534,564534,564534,564534,564534,564534,564534,2021-01-14
326,561794,561794,561794,561794,561794,561794,561794,561794,2021-01-15
327,559063,559063,559063,559063,559063,559063,559063,559063,2021-01-16
328,556341,556341,556341,556341,556341,556341,556341,556341,2021-01-17
329,553628,553628,553628,553628,553628,553628,553628,553628,2021-01-18
330,550924,550924,550924,550924,550924,550924,550924,550924,2021-01-19
331,548229,548229,548229,548229,548229,548229,548229,548229,2021-01-20
332,557880,596688,559314,576081,564002,642654,574741,563715,2021-01-21
333,567688,649344,570611,605316,580214,753043,602503,579622,2021-01-22
334,577655,706539,582123,635995,596876,881952,631571,595961,2021-01-23
335,587784,768643,593854,668185,614001,1032347,661999,612741,2021-01-24
336,598076,836060,605808,701957,631600,1207663,693849,629975,2021-01-25
337,608534,909226,617989,737385,649686,1411793,727184,647672,2021-01-26
338,619160,988609,630400,774547,668270,1649090,762071,665845,2021-01-27
339,629956,1074705,643044,813525,687366,1924366,798577,684506,2021-01-28
340,640924,1168043,655926,854400,706986,2242839,836774,703665,2021-01-29
341,652066,1269180,669050,897260,727143,2609150,876734,723335,2021-01-30
342,663385,1378705,682420,942195,747851,3030763,918532,743528,2021-01-31
343,674883,1497238,696038,989295,769124,3515765,962246,764257,2021-02-01
344,686562,1625429,709910,1038658,790975,4071634,1007957,785534,2021-02-02
345,698423,1763959,724038,1090380,813418,4705239,1055745,807371,2021-02-03
346,710470,1913481,738428,1144563,836469,5422846,1105696,829782,2021-02-04
347,722705,2074384,753083,1201311,860141,6230112,1157896,852780,2021-02-05
348,735129,2247654,768006,1260730,884450,7132086,1212434,876378,2021-02-06
349,747744,2434359,783203,1322932,909410,8133195,1269402,900590,2021-02-07
350,760554,2635514,798677,1388029,935038,9235322,1328894,925428,2021-02-08
