,School_closing,Workplace_closing,Cancel_events,Gatherings_restrictions,Transport_closing,Stay_home_restrictions,Internal_movement_restrictions,International_movement_restrictions,Date
330,37221,37221,37221,37221,37221,37221,37221,37221,2021-01-01
331,38207,38207,38207,38207,38207,38207,38207,38207,2021-01-02
332,39220,39220,39220,39220,39220,39220,39220,39220,2021-01-03
333,40259,40259,40259,40259,40259,40259,40259,40259,2021-01-04
334,41325,41325,41325,41325,41325,41325,41325,41325,2021-01-05
335,42420,42420,42420,42420,42420,42420,42420,42420,2021-01-06
336,43543,43543,43543,43543,43543,43543,43543,43543,2021-01-07
337,47705,47705,47705,47705,47705,47705,47705,47705,2021-01-08
338,49478,49478,49478,49478,49478,49478,49478,49478,2021-01-09
339,51317,51317,51317,51317,51317,51317,51317,51317,2021-01-10
340,53224,53224,53224,53224,53224,53224,53224,53224,2021-01-11
341,55201,55201,55201,55201,55201,55201,55201,55201,2021-01-12
342,57252,57252,57252,57252,57252,57252,57252,57252,2021-01-13
343,59379,59379,59379,59379,59379,59379,59379,59379,2021-01-14
344,61584,61584,61584,61584,61584,61584,61584,61584,2021-01-15
345,63871,63871,63871,63871,63871,63871,63871,63871,2021-01-16
346,66243,66243,66243,66243,66243,66243,66243,66243,2021-01-17
347,68702,68702,68702,68702,68702,68702,68702,68702,2021-01-18
348,71252,71252,71252,71252,71252,71252,71252,71252,2021-01-19
349,71394,73159,73122,73159,72993,72042,72687,72596,2021-01-20
350,71536,75116,75041,75116,74776,72841,74151,73965,2021-01-21
351,71679,77126,77009,77126,76602,73648,75644,75360,2021-01-22
352,71821,79188,79028,79188,78473,74464,77167,76780,2021-01-23
353,71963,81305,81100,81305,80388,75288,78720,78227,2021-01-24
354,72106,83479,83225,83479,82349,76121,80303,79700,2021-01-25
355,72248,85710,85406,85710,84358,76963,81919,81201,2021-01-26
356,72390,87999,87642,87999,86415,77814,83566,82729,2021-01-27
357,72533,90350,89937,90350,88522,78674,85246,84286,2021-01-28
358,72675,92762,92290,92762,90679,79544,86960,85871,2021-01-29
359,72817,95238,94705,95238,92887,80422,88707,87486,2021-01-30
360,72960,97780,97181,97780,95149,81309,90489,89130,2021-01-31
361,73102,100389,99722,100389,97466,82206,92307,90805,2021-02-01
362,73244,103066,102327,103066,99837,83113,94160,92510,2021-02-02
363,73386,105814,105000,105814,102266,84029,96050,94247,2021-02-03
364,73529,108635,107741,108635,104752,84955,97978,96015,2021-02-04
365,73671,111529,110553,111529,107298,85890,99943,97816,2021-02-05
366,73813,114499,113437,114499,109905,86835,101947,99650,2021-02-06
367,73956,117548,116394,117548,112574,87790,103991,101518,2021-02-07
368,74098,120676,119427,120676,115306,88755,106076,103420,2021-02-08
