,School_closing,Workplace_closing,Cancel_events,Gatherings_restrictions,Transport_closing,Stay_home_restrictions,Internal_movement_restrictions,International_movement_restrictions,Date
292,162716,162716,162716,162716,162716,162716,162716,162716,2021-01-01
293,158302,158302,158302,158302,158302,158302,158302,158302,2021-01-02
294,154003,154003,154003,154003,154003,154003,154003,154003,2021-01-03
295,149818,149818,149818,149818,149818,149818,149818,149818,2021-01-04
296,145742,145742,145742,145742,145742,145742,145742,145742,2021-01-05
297,141775,141775,141775,141775,141775,141775,141775,141775,2021-01-06
298,137912,137912,137912,137912,137912,137912,137912,137912,2021-01-07
299,136660,136660,136660,136660,136660,136660,136660,136660,2021-01-08
300,132600,132600,132600,132600,132600,132600,132600,132600,2021-01-09
301,128658,128658,128658,128658,128658,128658,128658,128658,2021-01-10
302,124830,124830,124830,124830,124830,124830,124830,124830,2021-01-11
303,121114,121114,121114,121114,121114,121114,121114,121114,2021-01-12
304,117506,117506,117506,117506,117506,117506,117506,117506,2021-01-13
305,114003,114003,114003,114003,114003,114003,114003,114003,2021-01-14
306,110603,110603,110603,110603,110603,110603,110603,110603,2021-01-15
307,107302,107302,107302,107302,107302,107302,107302,107302,2021-01-16
308,104098,104098,104098,104098,104098,104098,104098,104098,2021-01-17
309,100988,100988,100988,100988,100988,100988,100988,100988,2021-01-18
310,97969,97969,97969,97969,97969,97969,97969,97969,2021-01-19
311,95039,95039,95039,95039,95039,95039,95039,95039,2021-01-20
312,100107,99402,96880,96159,96272,103234,97389,95928,2021-01-21
313,105439,103961,98754,97290,97519,112127,99794,96824,2021-01-22
314,111050,108723,100661,98431,98779,121774,102254,97725,2021-01-23
315,116951,113698,102601,99584,100052,132238,104772,98631,2021-01-24
316,123158,118893,104575,100747,101339,143586,107348,99544,2021-01-25
317,129686,124319,106584,101920,102639,155889,109983,100462,2021-01-26
318,136550,129984,108627,103105,103952,169225,112678,101387,2021-01-27
319,143766,135899,110706,104301,105279,183679,115434,102316,2021-01-28
320,151352,142074,112820,105507,106620,199340,118254,103252,2021-01-29
321,159326,148519,114970,106724,107974,216302,121137,104193,2021-01-30
322,167704,155245,117158,107953,109342,234667,124086,105140,2021-01-31
323,176508,162264,119382,109192,110723,254533,127100,106093,2021-02-01
324,185754,169587,121644,110442,112119,276004,130183,107051,2021-02-02
325,195458,177223,123943,111703,113528,299216,133333,108014,2021-02-03
326,205640,185180,126281,112975,114951,324309,136554,108983,2021-02-04
327,216326,193473,128658,114259,116388,351431,139846,109958,2021-02-05
328,227542,202118,131075,115553,117839,380734,143210,110938,2021-02-06
329,239314,211130,133531,116858,119303,412375,146648,111924,2021-02-07
330,251666,220523,136027,118175,120782,446518,150160,112915,2021-02-08
