,School_closing,Workplace_closing,Cancel_events,Gatherings_restrictions,Transport_closing,Stay_home_restrictions,Internal_movement_restrictions,International_movement_restrictions,Date
293,74440,74440,74440,74440,74440,74440,74440,74440,2021-01-01
294,76434,76434,76434,76434,76434,76434,76434,76434,2021-01-02
295,78478,78478,78478,78478,78478,78478,78478,78478,2021-01-03
296,80574,80574,80574,80574,80574,80574,80574,80574,2021-01-04
297,82723,82723,82723,82723,82723,82723,82723,82723,2021-01-05
298,84926,84926,84926,84926,84926,84926,84926,84926,2021-01-06
299,93360,93360,93360,93360,93360,93360,93360,93360,2021-01-07
300,96939,96939,96939,96939,96939,96939,96939,96939,2021-01-08
301,100647,100647,100647,100647,100647,100647,100647,100647,2021-01-09
302,104490,104490,104490,104490,104490,104490,104490,104490,2021-01-10
303,108470,108470,108470,108470,108470,108470,108470,108470,2021-01-11
304,112593,112593,112593,112593,112593,112593,112593,112593,2021-01-12
305,116328,116328,116328,116328,116328,116328,116328,116328,2021-01-13
306,119763,119763,119763,119763,119763,119763,119763,119763,2021-01-14
307,123291,123291,123291,123291,123291,123291,123291,123291,2021-01-15
308,126913,126913,126913,126913,126913,126913,126913,126913,2021-01-16
309,130633,130633,130633,130633,130633,130633,130633,130633,2021-01-17
310,134451,134451,134451,134451,134451,134451,134451,134451,2021-01-18
311,138370,138370,138370,138370,138370,138370,138370,138370,2021-01-19
312,142392,142392,142392,142392,142392,142392,142392,142392,2021-01-20
313,157646,162949,145655,147384,145655,147820,149899,145655,2021-01-21
314,174502,186411,148988,152542,148988,153444,157785,148988,2021-01-22
315,193120,213168,152392,157871,152392,159269,166068,152392,2021-01-23
316,213673,243660,155868,163376,155868,165301,174765,155868,2021-01-24
317,236355,278382,159417,169061,159417,171546,183895,159417,2021-01-25
318,261372,317878,163041,174932,163041,178012,193478,163041,2021-01-26
319,288949,362748,166742,180993,166742,184704,203532,166742,2021-01-27
320,319326,413629,170519,187251,170519,191630,214079,170519,2021-01-28
321,352731,471111,174375,193711,174375,198795,225138,174375,2021-01-29
322,389432,536081,178311,200378,178311,206207,236727,178311,2021-01-30
323,429767,609500,182328,207253,182328,213867,248857,182328,2021-01-31
324,474082,692312,186427,214343,186427,221779,261558,186427,2021-02-01
325,522727,785444,190610,221654,190610,229955,274857,190610,2021-02-02
326,576063,889807,194878,229194,194878,238402,288783,194878,2021-02-03
327,634452,1006298,199233,236968,199233,247131,303363,199233,2021-02-04
328,698266,1135794,203675,244985,203675,256149,318622,203675,2021-02-05
329,767883,1279159,208207,253250,208207,265466,334587,208207,2021-02-06
330,843686,1437239,212829,261769,212829,275089,351282,212829,2021-02-07
331,926068,1610400,217544,270550,217544,285026,368732,217544,2021-02-08
