,School_closing,Workplace_closing,Cancel_events,Gatherings_restrictions,Transport_closing,Stay_home_restrictions,Internal_movement_restrictions,International_movement_restrictions,Date
321,152742,152742,152742,152742,152742,152742,152742,152742,2021-01-01
322,156409,156409,156409,156409,156409,156409,156409,156409,2021-01-02
323,160160,160160,160160,160160,160160,160160,160160,160160,2021-01-03
324,163996,163996,163996,163996,163996,163996,163996,163996,2021-01-04
325,167920,167920,167920,167920,167920,167920,167920,167920,2021-01-05
326,171934,171934,171934,171934,171934,171934,171934,171934,2021-01-06
327,176039,176039,176039,176039,176039,176039,176039,176039,2021-01-07
328,205895,205895,205895,205895,205895,205895,205895,205895,2021-01-08
329,219124,219124,219124,219124,219124,219124,219124,219124,2021-01-09
330,233195,233195,233195,233195,233195,233195,233195,233195,2021-01-10
331,248161,248161,248161,248161,248161,248161,248161,248161,2021-01-11
332,264078,264078,264078,264078,264078,264078,264078,264078,2021-01-12
333,281005,281005,281005,281005,281005,281005,281005,281005,2021-01-13
334,299005,299005,299005,299005,299005,299005,299005,299005,2021-01-14
335,318144,318144,318144,318144,318144,318144,318144,318144,2021-01-15
336,338492,338492,338492,338492,338492,338492,338492,338492,2021-01-16
337,360124,360124,360124,360124,360124,360124,360124,360124,2021-01-17
338,383118,383118,383118,383118,383118,383118,383118,383118,2021-01-18
339,407558,407558,407558,407558,407558,407558,407558,407558,2021-01-19
340,433531,433531,433531,433531,433531,433531,433531,433531,2021-01-20
341,226972,261330,348896,361542,215097,299164,431995,246031,2021-01-21
342,118873,157662,280765,301490,106736,206524,430449,139728,2021-01-22
343,62334,95004,225992,251431,53039,142522,428894,79330,2021-01-23
344,32618,57348,181882,209676,26340,98339,427331,45027,2021-01-24
345,17100,34558,146300,174784,13066,67954,425758,25608,2021-01-25
346,8972,20870,117717,145699,6495,46849,424177,14523,2021-01-26
347,4694,12577,94794,121512,3229,32363,422587,8264,2021-01-27
348,2462,7596,76331,101391,1601,22356,420989,4687,2021-01-28
349,1291,4578,61389,84578,796,15414,419383,2665,2021-01-29
350,676,2764,49375,70491,396,10658,417769,1513,2021-01-30
351,355,1666,39753,58745,196,7354,416148,859,2021-01-31
352,186,1006,32033,48986,97,5074,414519,489,2021-02-01
353,97,607,25780,40881,48,3509,412883,277,2021-02-02
354,51,366,20729,34122,24,2419,411240,158,2021-02-03
355,27,221,16678,28446,12,1671,409591,89,2021-02-04
356,14,133,13435,23703,6,1155,407934,51,2021-02-05
357,7,80,10825,19758,3,796,406271,29,2021-02-06
358,4,49,8706,16483,1,550,404602,16,2021-02-07
359,2,29,7001,13761,1,380,402927,9,2021-02-08
