Country,Measures_Delay
Afghanistan,26.625
Angola,16.363636363636363
Albania,22.444444444444443
Andorra,14.5
United Arab Emirates,26.555555555555557
Argentina,27.625
Armenia,
Antigua and Barbuda,
Australia,14.38888888888889
Austria,19.90909090909091
Azerbaijan,15.058823529411764
Burundi,20.0
Belgium,24.25
Benin,9.25
Burkina Faso,25.666666666666668
Bangladesh,18.333333333333332
Bulgaria,20.2
Bahrain,25.75
Bahamas,19.333333333333332
Bosnia and Herzegovina,15.7
Belarus,22.75
Belize,20.2
Bermuda,10.333333333333334
Bolivia,8.5
Brazil,18.285714285714285
Barbados,10.875
Brunei,
Bhutan,14.333333333333334
Botswana,9.75
Central African Republic,17.2
Canada,34.6
Switzerland,25.555555555555557
Chile,20.555555555555557
China,15.8125
Cote d'Ivoire,28.5
Cameroon,11.571428571428571
Democratic Republic of the Congo,31.0
Republic of the Congo,9.75
Colombia,24.0
Comoros,
Cape Verde,26.857142857142858
Costa Rica,19.9
Cuba,23.6
Cyprus,24.25
Czech Republic,25.5
Germany,22.0
Djibouti,32.0
Dominica,
Denmark,17.75
Dominican Republic,31.333333333333332
Algeria,20.90909090909091
Ecuador,32.0
Egypt,25.5
Eritrea,10.25
Spain,15.538461538461538
Estonia,25.875
Ethiopia,30.5
Finland,20.818181818181817
Fiji,
France,22.22222222222222
Gabon,11.125
United Kingdom,13.944444444444445
Georgia,18.636363636363637
Ghana,33.0
Guinea,17.625
Gambia,13.625
Guinea-Bissau,
Equatorial Guinea,
Greece,19.23076923076923
Grenada,
Guatemala,33.0
Guam,16.125
Guyana,20.142857142857142
Honduras,20.333333333333332
Croatia,22.77777777777778
Haiti,21.285714285714285
Hungary,32.285714285714285
Indonesia,16.25
India,18.272727272727273
Ireland,26.22222222222222
Iran,24.8
Iraq,25.625
Iceland,17.25
Israel,17.0
Italy,21.583333333333332
Jamaica,18.09090909090909
Jordan,29.666666666666668
Kazakhstan,17.833333333333332
Kenya,17.25
Kyrgyzstan,20.22222222222222
Cambodia,13.6
Saint Kitts and Nevis,
Kuwait,24.375
Laos,
Lebanon,21.545454545454547
Liberia,19.571428571428573
Libya,22.25
Saint Lucia,
Liechtenstein,
Sri Lanka,28.125
Lesotho,11.0
Lithuania,24.0
Luxembourg,15.818181818181818
Latvia,23.428571428571427
Morocco,23.77777777777778
Monaco,42.0
Moldova,29.125
Madagascar,12.833333333333334
Maldives,
Mexico,28.571428571428573
North Macedonia,
Mali,22.75
Malta,22.25
Myanmar,17.0
Montenegro,
Mongolia,19.6
Northern Mariana Islands,
Mozambique,21.714285714285715
Mauritania,26.75
Mauritius,9.0
Malawi,20.75
Malaysia,23.636363636363637
Namibia,16.5
Niger,19.75
Nigeria,29.857142857142858
Nicaragua,18.0
Netherlands,24.5
Norway,22.3
Nepal,28.833333333333332
New Zealand,19.0
Oman,15.307692307692308
Pakistan,19.916666666666668
Panama,23.1
Peru,21.444444444444443
Philippines,20.571428571428573
Papua New Guinea,10.25
Poland,31.833333333333332
Puerto Rico,31.833333333333332
Portugal,18.846153846153847
Paraguay,25.714285714285715
Palestine,37.5
Qatar,35.4
Kosovo,20.875
Romania,24.88888888888889
Russia,28.571428571428573
Rwanda,16.666666666666668
Saudi Arabia,37.5
Sudan,15.375
Senegal,27.22222222222222
Singapore,39.0
Sierra Leone,19.555555555555557
El Salvador,21.428571428571427
San Marino,13.5
Somalia,17.0
Serbia,17.25
South Sudan,14.142857142857142
Sao Tome and Principe,
Suriname,16.571428571428573
Slovakia,18.583333333333332
Slovenia,29.2
Sweden,24.444444444444443
Swaziland,23.666666666666668
Seychelles,13.0
Syria,24.5
Chad,20.375
Togo,26.0
Thailand,13.333333333333334
Tajikistan,18.11111111111111
Timor-Leste,
Trinidad and Tobago,29.5
Tunisia,18.666666666666668
Turkey,21.625
Taiwan,9.0
Tanzania,
Uganda,19.7
Ukraine,22.875
Uruguay,23.625
United States,21.666666666666668
Uzbekistan,24.857142857142858
Holy See,
Saint Vincent and the Grenadines,
Venezuela,12.9375
"Virgin Islands, U.S.",15.857142857142858
Vietnam,19.625
Yemen,25.333333333333332
South Africa,26.555555555555557
Zambia,15.7
Zimbabwe,23.142857142857142
Japan,18.333333333333332
